mandante,visitante,resultado,gols_mandante,gols_visitante
atletico pr,corinthians,atletico pr,3,1
juventude,internacional,empate,1,1
fortaleza,criciuma,criciuma,0,1
vitoria,ponte preta,ponte preta,1,4
santos,coritiba,santos,3,1
fluminense,bahia,fluminense,1,0
sao caetano,atletico pr,empate,0,0
corinthians,santos,empate,1,1
cruzeiro,fortaleza,cruzeiro,2,0
bahia,guarani,bahia,2,0
paysandu,figueirense,paysandu,1,0
goias,vitoria,empate,1,1
flamengo,juventude,flamengo,2,1
internacional,vasco,internacional,2,1
coritiba,sao paulo,sao paulo,0,2
ponte preta,fluminense,ponte preta,3,0
criciuma,atletico mineiro,criciuma,1,0
parana,gremio,parana,3,1
atletico pr,goias,empate,0,0
fortaleza,internacional,fortaleza,3,0
vasco,paysandu,paysandu,0,2
atletico mineiro,flamengo,atletico mineiro,1,0
ponte preta,bahia,ponte preta,1,0
corinthians,coritiba,coritiba,0,1
criciuma,juventude,criciuma,3,0
figueirense,parana,figueirense,4,2
sao caetano,guarani,guarani,0,2
fluminense,sao paulo,sao paulo,1,3
gremio,cruzeiro,cruzeiro,0,1
vitoria,santos,vitoria,2,0
flamengo,fortaleza,fortaleza,0,2
juventude,figueirense,figueirense,1,2
bahia,sao caetano,empate,0,0
coritiba,fluminense,coritiba,3,0
guarani,vitoria,empate,2,2
internacional,atletico mineiro,empate,3,3
santos,ponte preta,santos,2,1
cruzeiro,vasco,cruzeiro,4,1
goias,corinthians,empate,1,1
paysandu,gremio,empate,1,1
sao paulo,atletico pr,sao paulo,2,0
fluminense,santos,santos,1,4
corinthians,guarani,corinthians,1,0
fortaleza,atletico mineiro,fortaleza,4,3
internacional,figueirense,internacional,3,0
juventude,paysandu,juventude,2,0
atletico pr,bahia,atletico pr,2,1
ponte preta,coritiba,empate,1,1
criciuma,flamengo,criciuma,4,3
goias,sao caetano,goias,2,1
vitoria,sao paulo,sao paulo,0,2
cruzeiro,parana,cruzeiro,5,1
vasco,gremio,vasco,2,0
parana,fortaleza,parana,4,1
atletico mineiro,juventude,atletico mineiro,2,1
paysandu,cruzeiro,paysandu,3,0
guarani,atletico pr,guarani,1,0
figueirense,vasco,empate,0,0
santos,goias,empate,3,3
bahia,corinthians,empate,0,0
coritiba,vitoria,empate,1,1
gremio,criciuma,criciuma,0,2
flamengo,internacional,flamengo,2,1
sao caetano,fluminense,sao caetano,2,0
sao paulo,ponte preta,ponte preta,1,2
santos,vasco,santos,2,1
goias,atletico mineiro,empate,1,1
atletico pr,paysandu,empate,1,1
fortaleza,ponte preta,ponte preta,2,3
juventude,fluminense,juventude,2,1
flamengo,sao paulo,empate,1,1
criciuma,coritiba,coritiba,2,3
guarani,figueirense,guarani,3,0
vitoria,parana,parana,0,3
corinthians,gremio,corinthians,1,0
cruzeiro,bahia,cruzeiro,5,2
internacional,sao caetano,empate,0,0
atletico pr,santos,santos,0,2
goias,ponte preta,empate,0,0
parana,criciuma,parana,2,1
fluminense,cruzeiro,empate,2,2
gremio,santos,gremio,2,0
sao paulo,internacional,internacional,0,2
sao caetano,juventude,empate,1,1
figueirense,goias,goias,0,1
parana,corinthians,empate,1,1
paysandu,guarani,paysandu,6,1
coritiba,fortaleza,empate,1,1
bahia,criciuma,empate,2,2
ponte preta,flamengo,empate,1,1
vasco,atletico pr,vasco,2,1
atletico mineiro,vitoria,atletico mineiro,1,0
vitoria,paysandu,empate,1,1
atletico pr,parana,atletico pr,1,0
criciuma,sao caetano,sao caetano,0,1
fortaleza,fluminense,fortaleza,3,1
juventude,ponte preta,empate,0,0
santos,atletico mineiro,empate,3,3
goias,vasco,goias,3,1
cruzeiro,sao paulo,empate,1,1
internacional,coritiba,internacional,1,0
flamengo,bahia,flamengo,6,0
corinthians,figueirense,figueirense,0,1
guarani,gremio,guarani,2,0
fluminense,criciuma,empate,1,1
sao caetano,cruzeiro,sao caetano,2,0
parana,santos,santos,1,2
sao paulo,juventude,sao paulo,3,1
paysandu,goias,empate,2,2
ponte preta,internacional,internacional,1,4
coritiba,flamengo,coritiba,5,0
atletico mineiro,corinthians,corinthians,2,3
figueirense,vitoria,vitoria,1,2
bahia,fortaleza,bahia,1,0
vasco,guarani,empate,0,0
gremio,atletico pr,empate,1,1
vasco,vitoria,vasco,1,0
bahia,internacional,internacional,1,3
figueirense,santos,figueirense,1,0
coritiba,juventude,coritiba,1,0
atletico mineiro,atletico pr,atletico pr,1,2
sao paulo,criciuma,empate,0,0
paysandu,corinthians,empate,2,2
sao caetano,fortaleza,sao caetano,3,0
ponte preta,cruzeiro,cruzeiro,1,3
parana,guarani,empate,0,0
gremio,goias,goias,0,1
fluminense,flamengo,flamengo,0,1
flamengo,sao caetano,flamengo,1,0
goias,parana,goias,1,0
juventude,bahia,juventude,1,0
cruzeiro,coritiba,empate,2,2
atletico pr,figueirense,figueirense,1,2
vitoria,gremio,vitoria,4,1
santos,paysandu,santos,2,0
fortaleza,sao paulo,sao paulo,0,2
corinthians,vasco,empate,0,0
internacional,fluminense,fluminense,0,1
guarani,atletico mineiro,empate,2,2
criciuma,ponte preta,criciuma,3,0
santos,flamengo,santos,2,1
atletico pr,fortaleza,atletico pr,3,1
goias,cruzeiro,goias,1,0
gremio,sao caetano,empate,0,0
vasco,sao paulo,vasco,3,2
paysandu,ponte preta,paysandu,3,2
parana,fluminense,parana,2,0
vitoria,juventude,vitoria,3,0
guarani,criciuma,guarani,1,0
figueirense,coritiba,coritiba,1,2
corinthians,internacional,corinthians,3,1
atletico mineiro,bahia,atletico mineiro,1,0
fluminense,gremio,fluminense,2,0
fortaleza,santos,empate,0,0
internacional,vitoria,vitoria,0,1
cruzeiro,guarani,cruzeiro,4,1
sao paulo,paysandu,sao paulo,1,0
sao caetano,vasco,sao caetano,1,0
juventude,goias,goias,0,2
flamengo,corinthians,flamengo,1,0
bahia,parana,bahia,4,2
ponte preta,figueirense,empate,1,1
criciuma,atletico pr,criciuma,2,0
coritiba,atletico mineiro,empate,2,2
santos,criciuma,santos,5,2
atletico pr,cruzeiro,cruzeiro,1,4
gremio,bahia,empate,1,1
corinthians,fortaleza,corinthians,2,0
vitoria,flamengo,vitoria,1,0
figueirense,sao paulo,empate,2,2
goias,internacional,goias,3,1
paysandu,sao caetano,paysandu,1,0
guarani,juventude,guarani,2,0
parana,coritiba,coritiba,2,3
vasco,fluminense,vasco,1,0
atletico mineiro,ponte preta,atletico mineiro,2,0
cruzeiro,santos,cruzeiro,3,0
coritiba,gremio,coritiba,1,0
ponte preta,parana,ponte preta,4,0
fluminense,paysandu,empate,1,1
internacional,guarani,internacional,2,0
bahia,vasco,bahia,3,0
criciuma,corinthians,criciuma,1,0
fortaleza,vitoria,fortaleza,1,0
juventude,atletico pr,juventude,4,0
sao caetano,figueirense,figueirense,0,2
sao paulo,atletico mineiro,empate,2,2
flamengo,goias,empate,1,1
atletico pr,internacional,atletico pr,2,1
gremio,ponte preta,empate,2,2
goias,fortaleza,fortaleza,0,1
paysandu,bahia,paysandu,4,0
vitoria,criciuma,empate,1,1
guarani,flamengo,guarani,5,3
parana,sao paulo,parana,4,2
santos,juventude,empate,1,1
corinthians,cruzeiro,cruzeiro,0,1
figueirense,fluminense,empate,2,2
vasco,coritiba,vasco,2,1
atletico mineiro,sao caetano,atletico mineiro,3,1
internacional,santos,internacional,1,0
sao paulo,gremio,sao paulo,3,1
flamengo,atletico pr,flamengo,2,1
cruzeiro,vitoria,cruzeiro,1,0
bahia,figueirense,empate,1,1
criciuma,goias,criciuma,1,0
fortaleza,guarani,fortaleza,3,0
juventude,corinthians,juventude,6,1
ponte preta,vasco,empate,2,2
sao caetano,parana,sao caetano,2,0
fluminense,atletico mineiro,atletico mineiro,0,1
coritiba,paysandu,coritiba,1,0
atletico pr,fluminense,empate,0,0
paysandu,internacional,empate,0,0
sao caetano,ponte preta,sao caetano,1,0
gremio,figueirense,gremio,3,1
sao paulo,santos,santos,1,2
vitoria,corinthians,corinthians,1,2
goias,bahia,goias,3,1
atletico mineiro,vasco,atletico mineiro,2,1
juventude,fortaleza,empate,2,2
guarani,coritiba,guarani,2,1
flamengo,parana,parana,0,3
criciuma,cruzeiro,cruzeiro,1,3
vasco,juventude,empate,1,1
fortaleza,gremio,empate,2,2
corinthians,sao caetano,sao caetano,0,3
coritiba,goias,coritiba,1,0
ponte preta,atletico pr,empate,2,2
santos,guarani,empate,1,1
bahia,sao paulo,bahia,3,0
cruzeiro,flamengo,cruzeiro,2,0
parana,paysandu,parana,4,2
internacional,criciuma,internacional,2,0
fluminense,vitoria,fluminense,2,0
figueirense,atletico mineiro,atletico mineiro,0,1
atletico pr,coritiba,atletico pr,2,0
guarani,ponte preta,ponte preta,1,3
sao caetano,santos,empate,2,2
atletico mineiro,cruzeiro,cruzeiro,0,1
figueirense,criciuma,figueirense,4,2
sao paulo,corinthians,sao paulo,3,0
vitoria,bahia,vitoria,2,1
goias,fluminense,goias,6,1
juventude,parana,empate,1,1
flamengo,vasco,flamengo,2,1
internacional,gremio,gremio,0,1
paysandu,fortaleza,paysandu,3,0
goias,sao paulo,goias,3,1
guarani,fluminense,guarani,2,0
flamengo,paysandu,flamengo,2,0
gremio,atletico mineiro,empate,2,2
coritiba,bahia,coritiba,3,2
parana,internacional,parana,4,0
santos,atletico pr,santos,3,2
criciuma,vasco,criciuma,2,1
fortaleza,figueirense,empate,1,1
vitoria,sao caetano,empate,0,0
corinthians,ponte preta,corinthians,3,0
cruzeiro,juventude,juventude,1,2
ponte preta,goias,goias,0,2
sao caetano,coritiba,sao caetano,2,0
atletico pr,vitoria,vitoria,1,2
figueirense,flamengo,empate,0,0
fluminense,corinthians,fluminense,1,0
internacional,cruzeiro,internacional,1,0
bahia,santos,santos,4,7
sao paulo,guarani,empate,3,3
atletico mineiro,parana,empate,2,2
juventude,gremio,gremio,1,2
vasco,fortaleza,empate,1,1
paysandu,criciuma,paysandu,4,0
coritiba,santos,santos,0,4
bahia,fluminense,empate,2,2
ponte preta,vitoria,empate,1,1
cruzeiro,figueirense,cruzeiro,1,0
sao caetano,sao paulo,sao paulo,0,1
parana,vasco,empate,3,3
goias,guarani,goias,3,0
criciuma,fortaleza,empate,2,2
corinthians,atletico pr,atletico pr,2,3
paysandu,atletico mineiro,paysandu,1,0
flamengo,gremio,flamengo,2,1
internacional,juventude,empate,0,0
guarani,bahia,guarani,3,2
atletico pr,sao caetano,atletico pr,1,0
gremio,parana,parana,0,2
fluminense,ponte preta,empate,2,2
atletico mineiro,criciuma,empate,1,1
santos,corinthians,santos,3,1
juventude,flamengo,empate,2,2
fortaleza,cruzeiro,cruzeiro,1,2
figueirense,paysandu,figueirense,6,0
vitoria,goias,goias,3,4
vasco,internacional,internacional,0,1
sao paulo,coritiba,sao paulo,1,0
parana,figueirense,empate,1,1
internacional,fortaleza,empate,1,1
juventude,criciuma,juventude,3,1
paysandu,vasco,vasco,1,2
sao paulo,fluminense,sao paulo,1,0
coritiba,corinthians,coritiba,1,0
santos,vitoria,santos,3,1
cruzeiro,gremio,cruzeiro,3,0
goias,atletico pr,goias,4,1
guarani,sao caetano,sao caetano,0,1
bahia,ponte preta,bahia,1,0
flamengo,atletico mineiro,flamengo,3,2
fluminense,coritiba,fluminense,3,2
gremio,paysandu,gremio,2,0
criciuma,parana,parana,1,2
ponte preta,santos,santos,3,4
vasco,cruzeiro,cruzeiro,0,1
fortaleza,flamengo,fortaleza,4,1
atletico pr,sao paulo,atletico pr,4,3
sao caetano,bahia,sao caetano,4,1
figueirense,juventude,figueirense,2,1
vitoria,guarani,empate,0,0
corinthians,goias,corinthians,2,0
atletico mineiro,internacional,internacional,1,2
figueirense,internacional,figueirense,3,2
atletico mineiro,fortaleza,atletico mineiro,2,0
coritiba,ponte preta,empate,1,1
gremio,vasco,gremio,4,3
flamengo,criciuma,flamengo,1,0
santos,fluminense,santos,3,1
parana,cruzeiro,cruzeiro,1,3
sao caetano,goias,sao caetano,1,0
bahia,atletico pr,atletico pr,0,2
sao paulo,vitoria,sao paulo,3,1
guarani,corinthians,corinthians,0,1
paysandu,juventude,paysandu,3,2
vasco,figueirense,vasco,1,0
juventude,atletico mineiro,juventude,1,0
atletico pr,guarani,atletico pr,3,1
fluminense,sao caetano,fluminense,2,1
internacional,flamengo,internacional,3,1
goias,santos,goias,3,0
fortaleza,parana,fortaleza,5,3
criciuma,gremio,gremio,0,2
cruzeiro,paysandu,cruzeiro,2,1
vitoria,coritiba,vitoria,1,0
ponte preta,sao paulo,sao paulo,1,2
corinthians,bahia,bahia,1,2
vitoria,atletico mineiro,atletico mineiro,0,1
goias,figueirense,figueirense,0,3
atletico pr,vasco,empate,2,2
corinthians,parana,empate,1,1
cruzeiro,fluminense,cruzeiro,5,2
guarani,paysandu,guarani,2,1
santos,gremio,empate,2,2
flamengo,ponte preta,empate,1,1
criciuma,bahia,criciuma,3,2
fortaleza,coritiba,empate,2,2
internacional,sao paulo,empate,1,1
juventude,sao caetano,juventude,2,1
parana,vitoria,parana,2,0
coritiba,criciuma,coritiba,2,0
atletico mineiro,goias,atletico mineiro,3,2
figueirense,guarani,figueirense,2,0
sao caetano,internacional,sao caetano,5,0
gremio,corinthians,gremio,3,0
ponte preta,fortaleza,ponte preta,2,0
bahia,cruzeiro,cruzeiro,0,7
fluminense,juventude,fluminense,1,0
paysandu,atletico pr,empate,2,2
vasco,santos,empate,1,1
sao paulo,flamengo,flamengo,1,3
botafogo,goias,goias,1,4
figueirense,internacional,figueirense,1,0
sao caetano,vitoria,sao caetano,1,0
cruzeiro,juventude,cruzeiro,2,1
palmeiras,atletico mineiro,empate,0,0
gremio,flamengo,empate,0,0
ponte preta,corinthians,ponte preta,3,2
parana,santos,parana,3,2
coritiba,guarani,coritiba,1,0
vasco,criciuma,criciuma,0,1
paysandu,fluminense,empate,3,3
sao paulo,atletico pr,sao paulo,1,0
flamengo,ponte preta,empate,0,0
goias,cruzeiro,empate,2,2
juventude,gremio,empate,1,1
internacional,palmeiras,internacional,1,0
atletico mineiro,vasco,empate,1,1
fluminense,coritiba,empate,1,1
corinthians,paysandu,corinthians,2,1
guarani,sao caetano,empate,1,1
atletico pr,figueirense,figueirense,0,3
vitoria,parana,vitoria,6,1
criciuma,sao paulo,empate,1,1
santos,botafogo,santos,2,0
botafogo,atletico mineiro,empate,2,2
coritiba,internacional,empate,1,1
paysandu,atletico pr,atletico pr,0,3
cruzeiro,criciuma,empate,2,2
ponte preta,goias,ponte preta,2,0
gremio,corinthians,gremio,4,0
figueirense,santos,figueirense,2,1
sao paulo,fluminense,sao paulo,1,0
parana,flamengo,parana,2,1
vasco,guarani,guarani,0,1
palmeiras,vitoria,empate,2,2
internacional,paysandu,internacional,1,0
criciuma,botafogo,criciuma,1,0
atletico mineiro,ponte preta,ponte preta,1,2
goias,gremio,goias,4,0
flamengo,sao caetano,empate,1,1
santos,cruzeiro,cruzeiro,1,3
fluminense,vasco,fluminense,1,0
corinthians,palmeiras,palmeiras,0,4
juventude,parana,juventude,4,0
vitoria,figueirense,vitoria,3,1
guarani,sao paulo,sao paulo,2,3
atletico pr,coritiba,empate,1,1
santos,juventude,santos,2,1
parana,cruzeiro,parana,2,0
guarani,atletico pr,empate,0,0
sao caetano,criciuma,sao caetano,5,0
vasco,gremio,empate,1,1
palmeiras,ponte preta,palmeiras,3,0
internacional,fluminense,empate,0,0
atletico mineiro,corinthians,empate,2,2
botafogo,paysandu,empate,2,2
goias,figueirense,goias,1,0
vitoria,flamengo,vitoria,5,1
coritiba,sao paulo,sao paulo,1,2
paysandu,vasco,vasco,1,2
atletico pr,santos,atletico pr,1,0
cruzeiro,palmeiras,cruzeiro,2,1
flamengo,internacional,internacional,1,2
figueirense,sao caetano,figueirense,1,0
criciuma,goias,criciuma,7,2
juventude,atletico mineiro,empate,1,1
ponte preta,coritiba,empate,0,0
gremio,botafogo,empate,2,2
sao paulo,parana,empate,2,2
fluminense,vitoria,fluminense,1,0
corinthians,guarani,corinthians,1,0
botafogo,figueirense,empate,1,1
paysandu,gremio,gremio,1,3
internacional,goias,internacional,1,0
coritiba,atletico mineiro,atletico mineiro,0,1
santos,palmeiras,palmeiras,0,4
flamengo,fluminense,fluminense,1,2
sao caetano,vasco,sao caetano,3,2
parana,ponte preta,ponte preta,0,1
criciuma,vitoria,criciuma,2,0
juventude,guarani,juventude,2,0
corinthians,atletico pr,atletico pr,0,5
cruzeiro,sao paulo,cruzeiro,2,1
fluminense,criciuma,empate,1,1
ponte preta,juventude,juventude,0,1
figueirense,paysandu,empate,1,1
palmeiras,coritiba,palmeiras,2,0
vitoria,internacional,vitoria,2,1
atletico mineiro,santos,empate,3,3
vasco,botafogo,vasco,4,0
sao paulo,corinthians,empate,1,1
guarani,parana,guarani,1,0
goias,flamengo,empate,2,2
atletico pr,cruzeiro,atletico pr,3,1
gremio,sao caetano,sao caetano,1,2
fluminense,guarani,empate,1,1
parana,botafogo,empate,1,1
internacional,atletico mineiro,internacional,4,1
sao paulo,gremio,sao paulo,3,2
goias,corinthians,empate,1,1
palmeiras,vasco,empate,2,2
cruzeiro,paysandu,cruzeiro,1,0
coritiba,sao caetano,coritiba,1,0
criciuma,juventude,criciuma,2,0
ponte preta,figueirense,figueirense,0,2
flamengo,atletico pr,flamengo,3,0
vitoria,santos,santos,1,2
gremio,coritiba,empate,1,1
atletico pr,vitoria,vitoria,1,3
vasco,parana,empate,0,0
figueirense,cruzeiro,empate,0,0
sao caetano,palmeiras,empate,1,1
corinthians,flamengo,empate,1,1
botafogo,ponte preta,ponte preta,0,1
paysandu,sao paulo,paysandu,1,0
guarani,criciuma,guarani,2,1
juventude,goias,empate,1,1
santos,internacional,santos,3,0
atletico mineiro,fluminense,atletico mineiro,2,1
sao caetano,juventude,sao caetano,1,0
criciuma,gremio,gremio,1,2
coritiba,parana,empate,1,1
flamengo,figueirense,figueirense,0,3
santos,guarani,santos,2,1
internacional,vasco,vasco,1,3
juventude,corinthians,juventude,1,0
botafogo,fluminense,empate,3,3
palmeiras,sao paulo,palmeiras,2,1
paysandu,vitoria,paysandu,4,2
goias,sao caetano,goias,3,2
ponte preta,cruzeiro,ponte preta,1,0
atletico mineiro,atletico pr,atletico pr,0,1
internacional,criciuma,internacional,3,0
sao paulo,ponte preta,sao paulo,2,0
atletico pr,juventude,atletico pr,4,1
figueirense,vasco,empate,2,2
vitoria,goias,empate,0,0
guarani,atletico mineiro,empate,1,1
fluminense,gremio,fluminense,2,0
parana,palmeiras,palmeiras,1,2
sao caetano,botafogo,botafogo,1,2
corinthians,santos,santos,2,3
flamengo,paysandu,flamengo,4,1
cruzeiro,coritiba,coritiba,0,3
sao paulo,atletico mineiro,sao paulo,1,0
goias,fluminense,goias,4,0
gremio,figueirense,empate,2,2
vasco,vitoria,vasco,3,1
botafogo,internacional,botafogo,5,1
parana,atletico pr,parana,1,0
cruzeiro,guarani,cruzeiro,2,0
palmeiras,juventude,palmeiras,4,1
paysandu,sao caetano,empate,0,0
criciuma,flamengo,empate,1,1
ponte preta,santos,santos,0,4
coritiba,corinthians,corinthians,1,2
ponte preta,guarani,ponte preta,3,1
internacional,gremio,internacional,2,0
santos,sao paulo,santos,2,1
vitoria,botafogo,vitoria,1,0
flamengo,vasco,vasco,0,1
juventude,coritiba,juventude,1,0
goias,paysandu,goias,3,2
corinthians,parana,corinthians,1,0
atletico pr,palmeiras,empate,0,0
figueirense,criciuma,figueirense,2,0
fluminense,sao caetano,fluminense,1,0
atletico mineiro,cruzeiro,atletico mineiro,2,0
atletico mineiro,vitoria,empate,1,1
corinthians,criciuma,corinthians,1,0
juventude,fluminense,juventude,2,1
gremio,cruzeiro,cruzeiro,2,3
guarani,internacional,guarani,2,1
figueirense,parana,empate,0,0
paysandu,ponte preta,paysandu,3,0
atletico pr,goias,atletico pr,6,0
vasco,coritiba,coritiba,2,3
sao caetano,sao paulo,empate,0,0
botafogo,palmeiras,empate,1,1
santos,flamengo,santos,2,0
cruzeiro,botafogo,cruzeiro,3,2
internacional,atletico pr,internacional,6,0
palmeiras,gremio,palmeiras,2,0
vitoria,corinthians,empate,1,1
parana,sao caetano,sao caetano,0,1
goias,guarani,goias,2,0
flamengo,juventude,juventude,0,1
fluminense,santos,fluminense,1,0
criciuma,atletico mineiro,criciuma,4,2
coritiba,paysandu,empate,1,1
ponte preta,vasco,ponte preta,3,2
sao paulo,figueirense,sao paulo,2,1
gremio,parana,gremio,4,0
corinthians,internacional,empate,0,0
juventude,vitoria,juventude,3,2
atletico mineiro,goias,goias,0,2
guarani,flamengo,flamengo,0,1
figueirense,coritiba,empate,1,1
paysandu,palmeiras,paysandu,1,0
sao caetano,ponte preta,ponte preta,0,1
vasco,cruzeiro,vasco,3,2
botafogo,sao paulo,botafogo,1,0
atletico pr,fluminense,atletico pr,4,1
santos,criciuma,santos,5,2
fluminense,corinthians,fluminense,2,0
internacional,juventude,juventude,1,2
sao paulo,vasco,sao paulo,1,0
coritiba,botafogo,coritiba,1,0
criciuma,atletico pr,criciuma,4,1
vitoria,guarani,vitoria,3,2
